模块,Relation,中文,Target（最终推断）,置信度,建议状态,旧版Schema依据,推断/Schema备注,Source修正建议,Relation重命名建议
Disease,belongs_to,属于疾病分类,删除，与subtype of完全等价,中,需医学复核,旧版未定义该 relation,疾病分类/父类仍属于 Disease；但与 subtype_of 及 Disease.Parent Disease 属性语义重叠，冻结前需明确三者是否并存。,,
Disease,subtype_of,亚型,"[""Disease""]",高,可加入,旧版未定义该 relation,标准疾病层级关系。,,
Disease,has_specifier,Specifier,直接删除关系,高,直接删除/不建边,旧版未定义该 relation,最终处置为直接删除；Disease.Core Properties 已包含 Specifier，无需新增属性或关系。,,
Disease,differentiates_from,鉴别诊断,"[""Disease""]",高,可加入,旧版 active: source=['Disease']; target=['Disease'],疾病与疾病之间的鉴别诊断关系；旧版同名关系已明确为 Disease→Disease。,,
Diagnostic Criterion,co_occurs_with,共病,"[""Disease""]",高,需修正 Source 后加入,旧版对应关系 co_occurs_with_frequency (active): source=['Disease']; target=['Disease'],“共病”语义应为 Disease→Disease；旧版 co_occurs_with_frequency 明确为 Disease→Disease，因此当前 Source 很可能误填。,Disease,
Disease,predisposes_to,增加...的易感性,"[""Disease""]",中,需复核,旧版未定义该 relation,按当前节点集合可解释为某疾病增加另一疾病易感性；若实际语料表达危险因素，更适合 Etiology/Risk→Disease。,,
Disease,causes,导致,删除，与predispose to语意重复,中,需医学复核（建议重命名）,旧版未定义该 relation,Disease→Disease 的因果关系已确定；为避免与 Etiology→Disease 的 causes 冲突，建议使用独立名称 causes_disease。,,causes_disease
Disease,progresses_to,进展为,"[""Disease""]",高,可加入,旧版未定义该 relation,疾病进展到另一疾病/明确疾病状态。,,
Disease,relapses_to,复发为,"[""Disease""]",高,可加入,旧版未定义该 relation,疾病复发到某疾病状态，Target 为 Disease。,,
Disease,associated_with_poor_prognosis,不良预后,"[""Disease""]",高,可加入（建议重命名）,"旧版对应关系 associated_with_poor_prognosis_in (active): source=['Disease', 'Symptom', 'Patient Information']; target=['Disease']",旧版 active 关系 associated_with_poor_prognosis_in 的 Target 为 Disease，语义是“某因素与某疾病的不良预后相关”；不是单纯的 Prognosis 属性。,,associated_with_poor_prognosis_in
Disease,has_diagnostic_criterion,具有诊断标准,"[""Diagnostic Criterion""]",高,可加入,旧版未定义该 relation,疾病具有诊断标准节点。,,
Disease,recommended_assessment,推荐评估,"[""Assessment""]",高,可加入,旧版未定义该 relation,疾病推荐某临床评估。,,
Disease,recommended_examination,推荐检查,"[""Examination""]",高,可加入,旧版未定义该 relation,疾病推荐某检查。,,
Disease,recommended_treatment_plan,推荐治疗方案,"[""Treatment Plan""]",高,可加入,旧版未定义该 relation,疾病推荐综合治疗方案。,,
Disease,associated_with_risk,相关风险,"[""Risk""]",高,可加入,旧版未定义该 relation,疾病与自杀、自伤等风险节点相关。,,
Disease,commonly_affects,指向特定patient节点,"[""Patient""]",中,需复核,旧版未定义该 relation,中文说明指向特定 Patient 节点；若 Patient 表示具体个体而非人群类型，则 Disease→Patient 的类型级关系需谨慎。,,
Disease,rules_out,疾病排除疾病，与症状排除疾病做补充,"[""Disease""]",高,可加入,旧版未定义该 relation,疾病排除/鉴别另一疾病，与 Symptom→Disease 的排除关系形成补充。,,
Disease,managed_by_guideline,指南管理,"[""Guideline""]",高,可加入,旧版未定义该 relation,疾病由某临床指南覆盖/管理。,,
Diagnostic Criterion,required_for,诊断标准,"[""Disease""]",高,可加入,旧版对应关系 required_for_diagnosis_of (active): source=['Diagnostic Criteria']; target=['Disease'],与旧版 required_for_diagnosis_of 的语义一致：诊断标准用于某疾病诊断。,,required_for_diagnosis_of
Symptom,is_core_symptom_of,核心症状,"[""Disease""]",高,可加入,旧版 active: source=['Symptom']; target=['Disease'],旧版 active 同名关系明确为 Symptom→Disease。,,
Symptom,is_associated_symptom_of,伴随症状,"[""Disease""]",高,可加入,旧版 active: source=['Symptom']; target=['Disease'],旧版 active 同名关系明确为 Symptom→Disease。,,
Symptom,supports_diagnosis_of,支持诊断,"[""Disease""]",高,可加入,旧版未定义该 relation,症状支持疾病诊断。,,
Symptom,supports_Diagnostic Criterion_of,支持诊断标准,"[""Diagnostic Criterion""]",高,可加入（建议规范命名）,旧版未定义该 relation,症状支持某条诊断标准；Target 为 Diagnostic Criterion。建议统一 relation 命名风格与大小写。,,supports_diagnostic_criterion
Symptom,suggests,提示,删除，与support diagnosis of语意重复,中高,可加入,旧版未定义该 relation,临床症状可提示某疾病；语义清晰，但与 supports_diagnosis_of 有一定重叠。,,
Symptom,argues_against,排除,"[""Disease""]",高,可加入,"旧版对应关系 excludes_diagnosis_of (active): source=['Diagnostic Criteria', 'Symptom']; target=['Disease']",与旧版 Symptom→excludes_diagnosis_of→Disease 的设计一致，表示降低/排除某诊断可能性。,,
Symptom,precedes,先于,"[""Symptom""]",中,需复核,旧版同名关系：needs_medical_review（source/target 未定）,旧版同名关系标记 needs_medical_review；按新版关系分组最自然解释为症状间时序。,,
Symptom,follows,继发于,删除，与precedes完全等价,中,需复核,旧版同名关系：needs_medical_review（source/target 未定）,旧版同名关系标记 needs_medical_review；按新版关系分组最自然解释为症状间时序。,,
Symptom,aggravated_by,加重,改为节点属性：risk_factor,高,改为节点属性/不建边,旧版未定义该 relation,按最终标记不保留关系，转换为 Symptom.risk_factor；当前 nodes.csv 尚未列出该属性，更新节点定义时需同步补充。,,
Symptom,relieved_by,缓解,"[""Medication"", ""Treatment"",""Treatment Plan""]",高,可加入,旧版未定义该 relation,症状可被药物或非药物治疗缓解。,,
Symptom,modulated_by,调节,删除，与relieved_by重复,低,暂缓加入,旧版同名关系：needs_medical_review（source/target 未定）,旧版同名关系已标记 needs_medical_review；“调节”可指诱因、药物或治疗，语义过宽，建议拆分为 worsened_by / relieved_by 等更具体关系。,,
Symptom,part_of,属于,"[""Symptom""]",中,需复核,旧版未定义该 relation,可表示症状层级，但新版 Symptom 已有 Parent Symptom 属性，可能重复。,,
Symptom,has_subsymptom,表现为,"[""Symptom""]",中,需复核,旧版未定义该 relation,可解释为上位/复合症状表现为更具体症状，但需与 Symptom.description/manifestation 类属性边界保持一致。,,
Assessment,assesses_for,用于评估,"[""Disease"", ""Symptom"", ""Risk""]",高,可加入,"旧版 active: source=['Interview Tool']; target=['Disease', 'Symptom']",旧版 active 的 assesses_for 为 Interview Tool→Disease/Symptom；新版新增 Risk 节点后，风险评估也合理纳入 Target。,,
Assessment,asks_about,询问症状,"[""Symptom""]",高,可加入,旧版未定义该 relation,临床评估问题询问症状。,,
Assessment,triggers_follow_up_question,触发追问,"[""Assessment""]",中,需复核,旧版未定义该 relation,旧版相关关系 triggers_follow_up_question_on 标记 needs_medical_review。只有当追问问题也建成独立 Assessment 节点时 Target=Assessment；否则更适合作为 Follow-up Question 属性。,,
Assessment,triggers_scale,触发量表,"[""Assessment Scale""]",高,可加入,旧版未定义该 relation,临床评估触发量表。,,
Assessment,triggers_test,触发检查,"[""Examination""]",高,可加入,旧版未定义该 relation,临床评估触发检查。,,
Assessment,informed_by_patient,受患者影响,"[""Patient""]",高,可加入,旧版对应关系 informed_by_patient_demographics (active): source=['Interview Tool']; target=['Patient Information'],旧版 active 的 informed_by_patient_demographics 为 Interview Tool→Patient Information；新版可映射为 Assessment→Patient。,,
Patient,presents_with,出现症状,"[""Symptom""]",高,可加入,旧版未定义该 relation,患者出现症状。,,
Patient,has_risk,存在风险,"[""Risk""]",高,可加入,旧版未定义该 relation,患者存在某风险。,,
Patient,receives_treatment_plan,接受治疗方案,"[""Treatment Plan""]",高,可加入,旧版未定义该 relation,患者接受某治疗方案。,,
Patient,contraindicated_for,治疗禁忌,"[""Medication"", ""Treatment"", ""Treatment Plan""]",中,需医学复核,旧版未定义该 relation,患者/特定人群可对药物、非药物治疗或整体治疗方案存在禁忌；Target 已按最终标记保留三类节点。,,
Medication,first_line_for,一线药物,"[""Disease""]",高,可加入,旧版 active: source=['Medication']; target=['Disease'],旧版 active 同名关系明确为 Medication→Disease。,,
Medication,second_line_for,二线药物,"[""Disease""]",高,可加入,旧版未定义该 relation,二线药物对应疾病。,,
Medication,recommended_for,推荐用于,"[""Disease""]",高,可加入,"旧版 active: source=['Communication Method']; target=['Disease', 'Patient Information']",药物推荐用于某疾病。,,
Medication,contraindicated_in,禁忌,"[""Disease"",""Symptom""]",中,需医学复核,旧版同名关系：needs_medical_review（source/target 未定）,Target 已确定为 Disease、Patient、Symptom；但三类禁忌对象的语义粒度不同，保留为 needs_medical_review。,,
Medication,interacts_with,药物相互作用,"[""Medication""]",高,可加入,旧版同名关系：needs_medical_review（source/target 未定）,虽然旧版曾标记 needs_medical_review，但在当前节点集合中药物相互作用的 Target=Medication 很明确。,,
Medication,causes_side_effect,导致副作用,"[""Symptom"",""Disease""]",中,需医学复核,旧版未定义该 relation,Target 已确定为 Symptom、Disease；由于副作用也可能仅记录在 Medication.Side Effects 属性中，建边边界仍需医学复核。,,
Medication,monitor_for,监测,"[""Examination"", ""Symptom"", ""Risk""]",中,需复核,旧版未定义该 relation,“监测”可能指实验室/检查指标、症状性不良反应或风险，Target 较宽，建议后续按语料拆分。,,
Treatment,combined_with,联合治疗,"[""Treatment"", ""Medication""]",高,可加入,旧版未定义该 relation,非药物治疗可与另一非药物治疗或药物联合。,,
Treatment,supported_by_evidence,证据支持,"[""Evidence""]",高,可加入,旧版未定义该 relation,治疗由文献证据支持。,,
TreatmentPlan,consists_of_medication,包含药物,"[""Medication""]",高,需修正 Source 后加入,旧版未定义该 relation,Target 清晰；新版节点 Label 为 Treatment Plan，而关系表写作 TreatmentPlan，应统一。,Treatment Plan,
TreatmentPlan,consists_of_treatment,包含非药物,"[""Treatment""]",高,需修正 Source 后加入,旧版未定义该 relation,Target 清晰；新版节点 Label 为 Treatment Plan，而关系表写作 TreatmentPlan，应统一。,Treatment Plan,
TreatmentPlan,applicable_to,适用于疾病,"[""Disease""]",高,需修正 Source 后加入,旧版未定义该 relation,治疗方案适用于疾病；同时应将 Source 统一为 Treatment Plan。,Treatment Plan,
TreatmentPlan,recommended_by,被指南推荐,"[""Guideline""]",高,需修正 Source 后加入,旧版未定义该 relation,治疗方案由指南推荐；同时应将 Source 统一为 Treatment Plan。,Treatment Plan,
Examination,supports_diagnosis_of,支持诊断,"[""Disease""]",高,可加入,旧版未定义该 relation,检查支持疾病诊断。,,
Examination,differentiates,鉴别,"[""Disease""]",高,可加入,旧版未定义该 relation,检查用于鉴别疾病。,,
Examination,confirms,确诊,"[""Disease""]，和support diagnosis of是否重复？",中,需医学复核,旧版未定义该 relation,Target 为 Disease 明确，但单项检查通常仅支持诊断；使用 confirms 的强因果/确诊语义前需医学复核。,,
Assessment Scale,evaluates,评估疾病,"[""Disease""]",高,可加入,旧版未定义该 relation,量表评估疾病/严重程度。,,
Assessment Scale,triggered_by,被Assessment触发,"[""Assessment""]",高,可加入,旧版未定义该 relation,量表由临床评估触发。,,
Assessment Scale,measures,测量症状,"[""Symptom"",""Disease""]",高,可加入,旧版未定义该 relation,量表可测量具体症状，也可测量疾病相关严重度或维度；Target 按最终标记保留 Symptom、Disease。,,
Etiology,causes,导致疾病,"[""Disease""]",高,可加入,旧版未定义该 relation,病因导致疾病。,,
Etiology,contributes_to,增加发生概率,"[""Disease"",""Risk"",""Symptom""]",高,可加入,旧版未定义该 relation,病因可促成疾病、风险状态或症状出现；Target 按最终标记保留 Disease、Risk、Symptom。,,
Risk,increased_b,增加风险,改为节点属性：risk_increase_factors,高,改为节点属性/不建边,旧版未定义该 relation,按最终标记不保留关系，转换为 Risk.risk_increase_factors；当前 nodes.csv 尚未列出该属性，更新节点定义时需同步补充。,,
Risk,reduced_by,保护作用,改为节点属性：protective_factors,高,改为节点属性/不建边,旧版未定义该 relation,按最终标记不保留关系，转换为 Risk.protective_factors；当前 nodes.csv 尚未列出该属性，更新节点定义时需同步补充。,,
